journal;Total_Autores;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
"Microelectronics Reliability";13650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1019;1033;1180;504;1313;1088;1614;1155;1072;1472;1638;562
"IEEE Trans. Computers";13407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;343;326;320;323;261;290;264;298;310;282;314;303;351;417;387;385;353;386;393;386;392;382;357;326;304;327;312;341;403;377;391;416;419;435;407;432;446;247
Automatica;13286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;20;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;220;229;233;279;316;324;465;440;449;557;429;442;428;560;576;559;567;553;638;618;1002;1063;724;955;404
"IACR Cryptology ePrint Archive";12972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;235;415;571;884;1053;1147;1197;1407;1730;1694;1858;654
"Inf. Process. Lett.";12249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;65;56;35;84;107;81;121;193;165;188;175;149;158;140;180;304;304;344;328;388;424;400;406;438;410;428;424;361;305;265;442;421;397;371;376;403;559;556;541;465;265
"IEEE Trans. on CAD of Integrated Circuits and Systems";12015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;86;96;178;147;290;332;336;319;415;344;474;416;392;408;370;336;446;402;380;368;447;480;474;788;619;671;533;563;566;284
Neurocomputing;11995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;41;40;62;37;58;122;176;147;236;464;570;724;826;547;596;617;826;984;758;1180;1051;1145;777
"Electr. Notes Theor. Comput. Sci.";11871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;100;132;227;402;273;793;889;798;614;1375;1359;1325;1152;1442;448;426;0
"Journal of Computational Chemistry";11682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;352;414;400;451;415;432;514;517;656;466;594;582;890;864;976;1058;1224;560
"Inf. Sci.";11678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;19;8;0;15;69;28;59;50;58;78;72;96;63;77;68;88;80;89;60;73;79;80;152;211;233;202;154;276;239;337;306;294;287;332;349;450;294;439;1035;902;929;1061;1069;811
"IEEE Transactions on Communications";11587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499;497;558;586;624;615;682;704;687;749;825;680;1259;1104;1056;462
"IEEE Transactions on Wireless Communications";11480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;322;598;710;1034;1461;1787;2078;1228;1411;650
"Computer Communications";11350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;44;37;39;50;48;46;42;51;48;73;78;148;138;153;189;179;232;285;265;375;397;426;257;445;578;474;539;1094;915;1255;661;695;668;388
NeuroImage;11264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;813;958;5766;3706
"Pattern Recognition Letters";10701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;233;184;216;236;336;314;346;389;315;375;285;362;426;769;447;638;590;737;692;549;857;809;511
"IEEE Transactions on Image Processing";10408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;105;179;380;408;395;409;444;545;445;324;358;368;540;886;740;534;682;815;930;807
"Discrete Applied Mathematics";10307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;142;182;202;275;309;352;329;327;393;351;350;340;358;402;543;607;409;530;578;718;910;579;591;432
"IEEE Trans. Pattern Anal. Mach. Intell.";10280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;190;177;150;183;220;268;259;240;249;295;317;297;318;312;317;315;303;332;373;446;358;495;507;546;536;567;548;614;391
"Computer Networks";9904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;20;65;69;34;43;46;44;44;46;129;99;92;98;0;0;0;0;0;0;138;164;629;506;468;424;398;377;441;471;618;840;748;656;758;953;467
"IEEE Journal on Selected Areas in Communications";9758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;458;418;361;364;0;398;499;405;32;0;629;625;0;510;524;633;757;616;544;597;504;592;292
"IEEE Communications Letters";9701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;234;235;343;393;429;0;558;950;770;899;782;920;1128;1343;602
"Signal Processing";9447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478;441;438;475;487;374;513;457;448;805;683;690;738;889;785;746
"IEEE Trans. Med. Imaging";9330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;452;377;436;496;645;552;533;590;574;679;726;811;800;836;484
"Computers & OR";9116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;36;60;52;56;43;54;57;49;38;74;98;126;102;126;103;127;149;156;156;199;191;217;207;214;199;195;177;303;323;316;431;513;556;699;762;637;480;769
"IEEE Computer";8958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;66;0;37;119;107;114;159;96;52;121;230;181;258;249;193;224;352;320;368;341;364;316;362;384;394;361;327;390;397;484;437;476;475;203
