conference,num_publicacoes,num_autores
ACIS-ICIS,842,2545
COMPCON,840,1810
ECBS,840,2293
ECDL,835,2728
"ICEIS (1)",834,2300
CAiSE,833,2208
ISPA,832,2735
"ICPR (2)",830,2235
DFT,829,2525
CONCUR,827,1803
PRICAI,822,2225
"KES (1)",820,2385
WG,818,1889
ICCHP,818,2477
ICECS,817,2880
FPGA,817,2681
"Intelligent Tutoring Systems",817,2360
"KES (3)",815,2558
NOMS,815,2647
PLDI,810,2335
CISIS,806,2763
ROBIO,806,2883
EACL,800,1775
"ICPR (3)",796,2329
EDBT,795,2420
"GECCO (Companion)",789,1823
ICMLA,785,2230
HPCC,784,2630
CLEF,783,2528
Hypertext,780,2026
PVM/MPI,778,2329
"ICEIS (2)",777,2240
CASCON,773,2068
MICCAI,771,3612
SRDS,768,2097
"OTM Workshops",767,2200
Humanoids,763,2950
PACT,758,2355
IWANN,756,2277
KR,754,1562
"Security and Management",750,1955
FCCM,748,2509
RE,748,2038
ICNSC,742,2313
ISVLSI,740,2486
EUROCAST,738,2029
"ACM Conference on Computer and Communications Security",737,2231
ISI,734,2109
ECIR,733,2081
MICAI,728,2171
INTERACT,728,1911
ISCIS,727,2005
"CVPR (1)",727,1947
"ECOOP Workshops",726,1810
"IPDPS Workshops",722,2279
"International Conference on Computational Science (1)",719,2218
"IEEE SCC",719,2419
SDM,719,2105
SOFSEM,715,1509
RTCSA,712,2138
"ICPR (1)",704,1942
ICUMT,704,2178
ISPAN,704,1997
APSCC,703,2239
"Advances in Computer Entertainment Technology",703,2429
SSPR/SPR,702,1867
"ICEIS (3)",702,1928
"IEEE Real-Time Systems Symposium",701,1851
ICWET,700,1838
ISORC,700,2160
RECOMB,695,2205
SIBGRAPI,694,2155
"CVPR (2)",693,1944
"IEEE ICCI",692,1864
ACSAC,690,1966
APWeb,690,2385
ECML,689,1554
"International Conference on Computational Science (2)",689,2047
"ICANN (2)",689,1942
CSMR,688,1876
KI,687,1638
"Australian Conference on Artificial Intelligence",686,1897
FG,686,2128
EMNLP,686,1943
GCC,680,2395
RTA,680,1264
LISA,678,1252
HiPC,676,2040
"Description Logics",676,1625
FORTE,675,1657
FTCS,673,1768
"ICCSA (3)",671,1929
JCIS,671,1728
HRI,670,2416
PKDD,669,1719
"ICONIP (1)",666,2003
WADS,664,1779
IPCV,662,2009
"International Conference on Computational Science (3)",661,2033
IKE,661,1740
ISM,661,2138
BIOCOMP,661,2264
DICTA,660,2009
TACAS,659,1926
AIED,659,2105
SAINT,659,2153
"Pacific Symposium on Biocomputing",658,2394
WCRE,658,1754
"Canadian Conference on AI",655,1522
ASAP,652,2001
IMECS,649,1717
EvoWorkshops,649,1833
ICADL,648,1880
ICECCS,647,1795
CSCL,646,1783
SEBD,646,2064
"ICONIP (2)",646,1953
PARA,641,1775
ICMI,637,2162
"ICANN (1)",636,1766
"IEEE Symposium on Computer Arithmetic",636,1334
"IGARSS (3)",635,2594
CW,633,1889
"ICDE Workshops",632,1934
IDEAS,630,1704
"Web Intelligence/IAT Workshops",629,1973
ICEIS,627,1695
CICLing,626,1636
"IEEE Symposium on Security and Privacy",624,1631
"IGARSS (4)",623,2445
ICNP,622,1907
IPSN,621,2326
ASIACRYPT,620,1558
SNPD,618,1740
HPCA,618,2132
"Grundlagen von Datenbanken",617,931
HSCC,617,1637
"Annual Simulation Symposium",616,1589
ICSC,615,1873
SenSys,612,2714
WISE,612,1889
PATMOS,609,2103
"IGARSS (2)",609,2431
LCPC,608,1940
CIMCA/IAWTIC,605,1572
VCIP,605,1733
ISDA,604,1838
EUC,603,1986
CIVR,601,1928
ECOOP,599,1439
ICONIP,598,1577
ISMAR,597,2011
DBSec,597,1443
"Discovery Science",594,1577
SEC,591,1494
WAIM,591,2089
HLT-NAACL,590,1564
RIAO,589,1545
CAINE,588,1617
"Developments in Language Theory",587,1150
ICWN,586,1662
Edutainment,581,1856
"ICPR (4)",581,1675
VRST,580,1932
ECSQARU,579,1291
JISBD,579,1878
ALT,575,1179
ICWE,574,1820
RSKT,573,1574
"IWANN (2)",570,1967
ISER,569,1886
MMM,568,1829
IVA,568,1788
ICWI,566,1489
ESOP,566,1243
CPM,566,1426
ACISP,565,1511
"FSKD (1)",562,1630
ICDIM,561,1642
"FSKD (2)",561,1737
ECAL,561,1258
PICS,560,1345
Ada-Europe,560,1289
CCA,559,1586
BTW,559,1432
ICCS,559,1092
AVSS,557,1650
IPCCC,557,1660
PRDC,556,1684
NCM,555,1720
"German Conference on Bioinformatics",553,1784
Geoinformatics,550,2063
ADBIS,549,1309
"ICPP (1)",548,1268
ICUIMC,548,1812
VL,548,1267
"VISAPP (1)",548,1626
AAECC,547,1059
BDA,547,1388
WiMob,546,1692
"ISVC (2)",545,1651
VMV,545,1643
APL,545,796
SpringSim,545,1589
IPMI,543,2018
ISPD,543,1538
ARCS,541,1360
NaBIC,538,1587
ACIVS,535,1748
ICYCS,534,1765
PPAM,533,1502
GIS,532,1746
AI*IA,532,1558
SCIA,531,1590
LATIN,531,1297
LPAR,529,1179
LSSC,529,1360
"ICEIS (4)",526,1577
CSEE&T,525,1242
ISADS,525,1676
PARCO,525,1686
"ISVC (1)",523,1635
DaWaK,523,1477
DISC,521,1410
WKDD,521,1401
Agents,520,1424
"ISNN (3)",520,1674
"IWANN (1)",519,1672
EGOV,519,1283
ISWC,517,1725
SYNASC,514,1285
RAM,512,1598
XP,511,1273
"ECCV (1)",509,1327
PPOPP,508,1716
IPCO,508,1144
ICFP,507,1119
MSN,507,1673
"EUSFLAT Conf.",505,1180
MIE,505,2054
UIST,504,1670
CompSysTech,504,1167
PerCom,504,1667
APCCAS,501,1508
"Graphics Interface",501,1411
MSWiM,500,1476
ELPUB,500,1068
ICICS,499,1430
"Applied Informatics",498,1342
"IEEE Conference on Computational Complexity",498,1059
ICGA,497,992
CRV,494,1264
NCA,494,1453
MUE,493,1568
"ECCV (2)",493,1288
IOLTS,493,1673
INFORSID,491,1167
"IFIP Congress (2)",491,853
ASSETS,491,1492
ASPLOS,489,1759
ICEBE,489,1545
"ACM Conference on Electronic Commerce",489,1318
"Computer Graphics International",488,1411
"SIGGRAPH Posters",487,1546
CGIV,487,1371
QSIC,486,1434
BROADNETS,484,1491
SAS,483,1093
ICA,480,1426
MOBICOM,480,1617
BNCOD,479,1215
PRIMA,479,1353
INFOS,478,731
ICAIL,478,1108
HASE,477,1312
CNSR,476,1345
BIBM,476,1733
AIME,476,1792
"ICIC (3)",474,1509
"GIL Jahrestagung",472,1193
DDECS,472,1480
ICIAR,472,1379
TPHOLs,472,883
IDC,471,1411
UKSim,469,1318
PCM,469,1593
"ICCSA (4)",469,1480
"Tangible and Embedded Interaction",468,1411
SIP,467,1286
GfKl,465,1057
SAFECOMP,464,1334
"Kommunikation in Verteilten Systemen",464,908
CICC,463,2053
EPIA,463,1112
FDL,462,1492
ICWL,461,1434
GRID,460,1725
ESORICS,459,1278
AMAST,459,962
SOSP,459,1559
ICFEM,458,1181
AIMSA,457,1026
MMSP,456,1547
SoCC,456,1570
DELTA,456,1420
EuroGP,455,1164
SWAT,455,1100
AH,455,1336
ICCBR,454,1165
"International Semantic Web Conference",453,1557
"ACM SIGOPS European Workshop",452,1154
ICSOC,450,1530
FSE,449,1048
DGCI,448,1054
EDOC,445,1380
ML,445,792
WINE,444,1214
SPDP,444,997
NLDB,443,1213
ISSRE,443,1276
ADMA,441,1360
"Creativity & Cognition",440,985
VLSI-SoC,439,1552
EUROMICRO-SEAA,439,1282
"SAINT Workshops",438,1414
NEMS,438,1910
"WWW (Companion Volume)",438,1523
NordiCHI,437,1208
CODES+ISSS,437,1534
"Security Protocols Workshop",436,739
"Public Key Cryptography",436,1099
"ACM Symposium on Document Engineering",436,1190
VL/HCC,435,1109
"Asia International Conference on Modelling and Simulation",434,1251
"Document Analysis Systems",433,1352
Ubicomp,433,1746
ICAISC,433,955
DMIN,432,1142
SERA,431,1200
ITCC,430,1118
AVI,430,1264
OZCHI,429,1179
SBCCI,428,1382
LPNMR,428,1065
IHM,426,1119
"Peer-to-Peer Computing",425,1298
FoSSaCS,425,946
UIC,424,1447
SPLC,424,1150
"Pacific Conference on Computer Graphics and Applications",424,1221
CC,422,1072
"Fuzzy Days",421,897
TIME,421,940
ISMB,421,1339
"ICNC (1)",419,1271
SPIRE,419,1145
CHES,419,1220
"VISAPP (2)",418,1266
SECRYPT,418,1095
"Rendering Techniques",417,1227
"IFIP Congress (1)",417,727
"ICNC (2)",417,1288
PROFES,416,1134
FASE,416,1177
"CIS (1)",415,1234
ICESS,414,1407
"CHI Conference Companion",414,980
WEBIST,413,1209
SocialCom/PASSAT,412,1333
WACV,412,1316
WSCG,412,1102
CAD/Graphics,411,1316
"Financial Cryptography",411,977
"IRMA Conference",411,819
ESM,410,967
ICAPS,410,1095
3DPVT,410,1205
JELIA,410,884
"SIGITE Conference",408,937
CiE,408,688
APMS,407,1046
OPODIS,406,1127
CASE,406,1341
"CIS (2)",406,1198
ACRI,406,1108
ICSEA,405,1125
Simulationstechnik,404,686
CSB,404,1355
EuroPLoP,404,724
"FSKD (4)",403,1199
"ISCA PDCS",403,1096
SECON,402,1389
ICDT,402,892
ESWC,402,1268
"ACCV (2)",401,1165
SIROCCO,401,1073
"OTM Conferences (1)",400,1216
SI3D,400,1225
ICAC,398,1412
GWAI,398,621
PRO-VE,397,1079
MobiHoc,397,1195
APNOMS,395,1348
EKAW,394,1108
TAMC,394,932
GROUP,394,1044
eScience,393,1825
ICEGOV,393,849
"FSKD (3)",392,1175
CIAA,391,859
ICVGIP,390,1092
EUROSIM,390,949
"COMPSAC (1)",390,1089
CASES,389,1253
ISC,387,1119
