"Id","Conferencias","Numero de anos","Total Papers","Total Autores","Média Autores/Ano","Desv Pad","Ano Início","Ano Fim","Anos sem artigos",,,,,,,,,,,
,"ICCD",20,,,,,,,,,,,,,,,,,,
,"LCPC",20,,,,,,,,,,,,,,,,,,
,"TREC",19,,,,,,,,,,,,,,,,,,
,"SC",19,,,,,,,,,,,,,,,,,,
,"MASCOTS",19,,,,,,,,,,,,,,,,,,
,"AAAI",19,,,,,,,,,,,,,,,,,,
,"ALT",19,,,,,,,,,,,,,,,,,,
,"ESANN",19,,,,,,,,,,,,,,,,,,
,"SEKE",19,,,,,,,,,,,,,,,,,,
,"SIGGRAPH",19,,,,,,,,,,,,,,,,,,
,"FPL",19,,,,,,,,,,,,,,,,,,
,"ICSM",19,,,,,,,,,,,,,,,,,,
,"ECIS",19,,,,,,,,,,,,,,,,,,
,"ICCS",19,,,,,,,,,,,,,,,,,,
,"ISAAC",19,,,,,,,,,,,,,,,,,,
,"CADE",19,,,,,,,,,,,,,,,,,,
,"ICML",19,,,,,,,,,,,,,,,,,,
,"CSFW",19,,,,,,,,,,,,,,,,,,
,"ESA",19,,,,,,,,,,,,,,,,,,
,"IEEE Symposium on Computer Arithmetic",19,,,,,,,,,,,,,,,,,,
,"TACAS",18,,,,,,,,,,,,,,,,,,
,"SAS",18,,,,,,,,,,,,,,,,,,
,"HPCA",18,,,,,,,,,,,,,,,,,,
,"LCN",18,,,,,,,,,,,,,,,,,,
,"Description Logics",18,,,,,,,,,,,,,,,,,,
,"FSE",18,,,,,,,,,,,,,,,,,,
,"Hypertext",18,,,,,,,,,,,,,,,,,,
,"SEBD",18,,,,,,,,,,,,,,,,,,
,"ACM Multimedia",18,,,,,,,,,,,,,,,,,,
,"FPGA",18,,,,,,,,,,,,,,,,,,
,"ICS",18,,,,,,,,,,,,,,,,,,
,"SAC",18,,,,,,,,,,,,,,,,,,
,"PEPM",18,,,,,,,,,,,,,,,,,,
,"WCRE",18,,,,,,,,,,,,,,,,,,
,"Graph Drawing",18,,,,,,,,,,,,,,,,,,
,"ACM Conference on Computer and Communications Security",18,,,,,,,,,,,,,,,,,,
,"FCT",18,,,,,,,,,,,,,,,,,,
,"SIROCCO",18,,,,,,,,,,,,,,,,,,
,"CCCG",18,,,,,,,,,,,,,,,,,,
,"WETICE",17,,,,,,,,,,,,,,,,,,
,"KI",17,,,,,,,,,,,,,,,,,,
,"LISA",17,,,,,,,,,,,,,,,,,,
,"KDD",17,,,,,,,,,,,,,,,,,,
,"APSEC",17,,,,,,,,,,,,,,,,,,
,"COCOON",17,,,,,,,,,,,,,,,,,,
,"TIME",17,,,,,,,,,,,,,,,,,,
,"ADBIS",17,,,,,,,,,,,,,,,,,,
,"MOBICOM",17,,,,,,,,,,,,,,,,,,
,"IUI",17,,,,,,,,,,,,,,,,,,
,"ICNP",17,,,,,,,,,,,,,,,,,,
,"APL",17,,,,,,,,,,,,,,,,,,
,"TPHOLs",17,,,,,,,,,,,,,,,,,,
,"ASPLOS",17,,,,,,,,,,,,,,,,,,
,"VTS",17,,,,,,,,,,,,,,,,,,
,"CP",17,,,,,,,,,,,,,,,,,,
,"ACM Southeast Regional Conference",17,,,,,,,,,,,,,,,,,,
,"ASIACRYPT",17,,,,,,,,,,,,,,,,,,
,"WADS",16,,,,,,,,,,,,,,,,,,
,"ECBS",16,,,,,,,,,,,,,,,,,,
,"ACISP",16,,,,,,,,,,,,,,,,,,
,"DFT",16,,,,,,,,,,,,,,,,,,
,"IEEE Conference on Computational Complexity",16,,,,,,,,,,,,,,,,,,
,"ISPD",16,,,,,,,,,,,,,,,,,,
,"ESORICS",16,,,,,,,,,,,,,,,,,,
,"SOFSEM",16,,,,,,,,,,,,,,,,,,
,"Graphics Interface",16,,,,,,,,,,,,,,,,,,
,"ICFP",16,,,,,,,,,,,,,,,,,,
,"PPOPP",16,,,,,,,,,,,,,,,,,,
,"IEEE Visualization",16,,,,,,,,,,,,,,,,,,
,"ICECCS",16,,,,,,,,,,,,,,,,,,
,"CSMR",16,,,,,,,,,,,,,,,,,,
,"INFORSID",16,,,,,,,,,,,,,,,,,,
,"ISLPED",16,,,,,,,,,,,,,,,,,,
,"AAECC",16,,,,,,,,,,,,,,,,,,
,"RECOMB",16,,,,,,,,,,,,,,,,,,
,"ISMIS",16,,,,,,,,,,,,,,,,,,
,"CRIWG",16,,,,,,,,,,,,,,,,,,
,"ACSAC",16,,,,,,,,,,,,,,,,,,
,"ITiCSE",16,,,,,,,,,,,,,,,,,,
,"ICRA",16,,,,,,,,,,,,,,,,,,
,"ASYNC",15,,,,,,,,,,,,,,,,,,
,"IEA/AIE",15,,,,,,,,,,,,,,,,,,
,"FASE",15,,,,,,,,,,,,,,,,,,
,"Public Key Cryptography",15,,,,,,,,,,,,,,,,,,
,"IPCO",15,,,,,,,,,,,,,,,,,,
,"UIST",15,,,,,,,,,,,,,,,,,,
,"OPODIS",15,,,,,,,,,,,,,,,,,,
,"JSSPP",15,,,,,,,,,,,,,,,,,,
,"FCCM",15,,,,,,,,,,,,,,,,,,
,"DATE",15,,,,,,,,,,,,,,,,,,
,"Developments in Language Theory",15,,,,,,,,,,,,,,,,,,
,"IDEAS",15,,,,,,,,,,,,,,,,,,
,"Euro-Par",15,,,,,,,,,,,,,,,,,,
,"ASE",15,,,,,,,,,,,,,,,,,,
,"Financial Cryptography",15,,,,,,,,,,,,,,,,,,
,"PDP",15,,,,,,,,,,,,,,,,,,
,"ICTAI",15,,,,,,,,,,,,,,,,,,
,"HSCC",15,,,,,,,,,,,,,,,,,,
,"NDSS",15,,,,,,,,,,,,,,,,,,
,"ISWC",15,,,,,,,,,,,,,,,,,,
,"EuroGP",15,,,,,,,,,,,,,,,,,,
,"ECAI",15,,,,,,,,,,,,,,,,,,
,"FoSSaCS",15,,,,,,,,,,,,,,,,,,
,"CSCW",14,,,,,,,,,,,,,,,,,,
,"VRST",14,,,,,,,,,,,,,,,,,,
,"SEC",14,,,,,,,,,,,,,,,,,,
,"WER",14,,,,,,,,,,,,,,,,,,
,"DASFAA",14,,,,,,,,,,,,,,,,,,
,"Selected Areas in Cryptography",14,,,,,,,,,,,,,,,,,,
,"HICSS",14,,,,,,,,,,,,,,,,,,
,"Asian Test Symposium",14,,,,,,,,,,,,,,,,,,
,"DISC",14,,,,,,,,,,,,,,,,,,
,"IV",14,,,,,,,,,,,,,,,,,,
,"PDPTA",14,,,,,,,,,,,,,,,,,,
,"Canadian Conference on AI",14,,,,,,,,,,,,,,,,,,
,"ISORC",14,,,,,,,,,,,,,,,,,,
,"ECDL",14,,,,,,,,,,,,,,,,,,
,"INFOS",14,,,,,,,,,,,,,,,,,,
,"EDBT",14,,,,,,,,,,,,,,,,,,
,"RE",14,,,,,,,,,,,,,,,,,,
,"NOSSDAV",14,,,,,,,,,,,,,,,,,,
,"ILP",14,,,,,,,,,,,,,,,,,,
,"ICDT",14,,,,,,,,,,,,,,,,,,
,"PADL",14,,,,,,,,,,,,,,,,,,
,"ASAP",14,,,,,,,,,,,,,,,,,,
,"TYPES",14,,,,,,,,,,,,,,,,,,
,"Best of PLDI",14,,,,,,,,,,,,,,,,,,
,"MMB",14,,,,,,,,,,,,,,,,,,
,"ASP-DAC",14,,,,,,,,,,,,,,,,,,
,"BTW",14,,,,,,,,,,,,,,,,,,
,"Bildverarbeitung für die Medizin",14,,,,,,,,,,,,,,,,,,
,"COMPSAC",14,,,,,,,,,,,,,,,,,,
,"Security Protocols Workshop",14,,,,,,,,,,,,,,,,,,
,"LPAR",14,,,,,,,,,,,,,,,,,,
,"DOLAP",14,,,,,,,,,,,,,,,,,,
,"PRIMA",14,,,,,,,,,,,,,,,,,,
,"PACIS",14,,,,,,,,,,,,,,,,,,
,"FLAIRS Conference",14,,,,,,,,,,,,,,,,,,
,"SAFECOMP",14,,,,,,,,,,,,,,,,,,
,"Discovery Science",14,,,,,,,,,,,,,,,,,,
,"TSD",13,,,,,,,,,,,,,,,,,,
,"EDOC",13,,,,,,,,,,,,,,,,,,
,"SCCC",13,,,,,,,,,,,,,,,,,,
,"PPDP",13,,,,,,,,,,,,,,,,,,
,"CHES",13,,,,,,,,,,,,,,,,,,
,"DSV-IS",13,,,,,,,,,,,,,,,,,,
,"ASIAN",13,,,,,,,,,,,,,,,,,,
,"Rendering Techniques",13,,,,,,,,,,,,,,,,,,
,"SPIN",13,,,,,,,,,,,,,,,,,,
,"ECML",13,,,,,,,,,,,,,,,,,,
,"ICICS",13,,,,,,,,,,,,,,,,,,
,"ICAIL",13,,,,,,,,,,,,,,,,,,
,"ACM Great Lakes Symposium on VLSI",13,,,,,,,,,,,,,,,,,,
,"HiPC",13,,,,,,,,,,,,,,,,,,
,"SI3D",13,,,,,,,,,,,,,,,,,,
,"BMVC",13,,,,,,,,,,,,,,,,,,
,"ECRTS",13,,,,,,,,,,,,,,,,,,
,"Information Hiding",13,,,,,,,,,,,,,,,,,,
,"ICPP Workshops",13,,,,,,,,,,,,,,,,,,
,"COORDINATION",13,,,,,,,,,,,,,,,,,,
,"PVM/MPI",13,,,,,,,,,,,,,,,,,,
,"ISCC",13,,,,,,,,,,,,,,,,,,
,"ISSTA",13,,,,,,,,,,,,,,,,,,
,"DaWaK",13,,,,,,,,,,,,,,,,,,
,"TABLEAUX",13,,,,,,,,,,,,,,,,,,
,"SIGAda",13,,,,,,,,,,,,,,,,,,
,"RTCSA",13,,,,,,,,,,,,,,,,,,
,"COLING",13,,,,,,,,,,,,,,,,,,
,"ISQED",13,,,,,,,,,,,,,,,,,,
,"ICFEM",13,,,,,,,,,,,,,,,,,,
,"NLDB",13,,,,,,,,,,,,,,,,,,
,"SIBGRAPI",13,,,,,,,,,,,,,,,,,,
,"SPIRE",13,,,,,,,,,,,,,,,,,,
,"ICPADS",13,,,,,,,,,,,,,,,,,,
,"ICISC",13,,,,,,,,,,,,,,,,,,
,"VR",13,,,,,,,,,,,,,,,,,,
,"ICCV",12,,,,,,,,,,,,,,,,,,
,"IFL",12,,,,,,,,,,,,,,,,,,
,"MSWiM",12,,,,,,,,,,,,,,,,,,
,"PAKDD",12,,,,,,,,,,,,,,,,,,
,"CT-RSA",12,,,,,,,,,,,,,,,,,,
,"TARK",12,,,,,,,,,,,,,,,,,,
,"EuroPLoP",12,,,,,,,,,,,,,,,,,,
,"PACT",12,,,,,,,,,,,,,,,,,,
,"CASES",12,,,,,,,,,,,,,,,,,,
,"EKAW",12,,,,,,,,,,,,,,,,,,
,"PRDC",12,,,,,,,,,,,,,,,,,,
,"WebDB",12,,,,,,,,,,,,,,,,,,
,"HASE",12,,,,,,,,,,,,,,,,,,
,"ISSRE",12,,,,,,,,,,,,,,,,,,
,"GI Jahrestagung (1)",12,,,,,,,,,,,,,,,,,,
,"PEARL",12,,,,,,,,,,,,,,,,,,
,"Data Compression Conference",12,,,,,,,,,,,,,,,,,,
,"GRID",12,,,,,,,,,,,,,,,,,,
,"SLIP",12,,,,,,,,,,,,,,,,,,
,"ELPUB",12,,,,,,,,,,,,,,,,,,
,"AIMSA",12,,,,,,,,,,,,,,,,,,
,"ACM Conference on Computer Science",12,,,,,,,,,,,,,,,,,,
,"EACL",12,,,,,,,,,,,,,,,,,,
,"COMPCON",12,,,,,,,,,,,,,,,,,,
,"SimVis",12,,,,,,,,,,,,,,,,,,
,"RoboCup",12,,,,,,,,,,,,,,,,,,
,"German Conference on Bioinformatics",12,,,,,,,,,,,,,,,,,,
,"EC-Web",12,,,,,,,,,,,,,,,,,,
,"ISMIR",12,,,,,,,,,,,,,,,,,,
,"AMAST",12,,,,,,,,,,,,,,,,,,
,"DBPL",12,,,,,,,,,,,,,,,,,,
,"Pacific Symposium on Biocomputing",12,,,,,,,,,,,,,,,,,,
,"INDOCRYPT",12,,,,,,,,,,,,,,,,,,
,"INTERSPEECH",12,,,,,,,,,,,,,,,,,,
,"CLUSTER",12,,,,,,,,,,,,,,,,,,
,"SWAT",12,,,,,,,,,,,,,,,,,,
,"GWAI",12,,,,,,,,,,,,,,,,,,
,"KR",12,,,,,,,,,,,,,,,,,,
,"CHI Extended Abstracts",12,,,,,,,,,,,,,,,,,,
,"GI Jahrestagung (2)",12,,,,,,,,,,,,,,,,,,
,"Essen Symposium",12,,,,,,,,,,,,,,,,,,
,"WWW",12,,,,,,,,,,,,,,,,,,
,"IPDPS",12,,,,,,,,,,,,,,,,,,
,"CIAA",12,,,,,,,,,,,,,,,,,,
,"SIGSOFT FSE",12,,,,,,,,,,,,,,,,,,
,"EMISA",12,,,,,,,,,,,,,,,,,,
,"MABS",12,,,,,,,,,,,,,,,,,,
,"FTCS",12,,,,,,,,,,,,,,,,,,
,"ACM Conference on Electronic Commerce",12,,,,,,,,,,,,,,,,,,
,"DSN",12,,,,,,,,,,,,,,,,,,
,"CSEE&T",12,,,,,,,,,,,,,,,,,,
,"MobiHoc",12,,,,,,,,,,,,,,,,,,
,"LPNMR",12,,,,,,,,,,,,,,,,,,
,"Web3D",12,,,,,,,,,,,,,,,,,,
,"WOWMOM",12,,,,,,,,,,,,,,,,,,
,"APLAS",12,,,,,,,,,,,,,,,,,,
,"Ubicomp",11,,,,,,,,,,,,,,,,,,
,"ISC",11,,,,,,,,,,,,,,,,,,
,"HIS",11,,,,,,,,,,,,,,,,,,
,"MMNS",11,,,,,,,,,,,,,,,,,,
,"ECIR",11,,,,,,,,,,,,,,,,,,
,"ACSD",11,,,,,,,,,,,,,,,,,,
,"WISE",11,,,,,,,,,,,,,,,,,,
,"DAIS",11,,,,,,,,,,,,,,,,,,
,"WABI",11,,,,,,,,,,,,,,,,,,
,"SBBD",11,,,,,,,,,,,,,,,,,,
,"Computers and Their Applications",11,,,,,,,,,,,,,,,,,,
,"DS-RT",11,,,,,,,,,,,,,,,,,,
,"Middleware",11,,,,,,,,,,,,,,,,,,
,"WSE",11,,,,,,,,,,,,,,,,,,
,"VL",11,,,,,,,,,,,,,,,,,,
,"BIBE",11,,,,,,,,,,,,,,,,,,
,"PROFES",11,,,,,,,,,,,,,,,,,,
,"Kommunikation in Verteilten Systemen",11,,,,,,,,,,,,,,,,,,
,"DGCI",11,,,,,,,,,,,,,,,,,,
,"JFPLC",11,,,,,,,,,,,,,,,,,,
,"DCFS",11,,,,,,,,,,,,,,,,,,
,"Peer-to-Peer Computing",11,,,,,,,,,,,,,,,,,,
,"EvoWorkshops",11,,,,,,,,,,,,,,,,,,
,"EJC",11,,,,,,,,,,,,,,,,,,
,"CCGRID",11,,,,,,,,,,,,,,,,,,
,"DNA",11,,,,,,,,,,,,,,,,,,
,"AOSE",11,,,,,,,,,,,,,,,,,,
,"PSTV",11,,,,,,,,,,,,,,,,,,
,"PATMOS",11,,,,,,,,,,,,,,,,,,
,"EPIA",11,,,,,,,,,,,,,,,,,,
,"POLICY",11,,,,,,,,,,,,,,,,,,
,"DSOM",11,,,,,,,,,,,,,,,,,,
,"ICDM",11,,,,,,,,,,,,,,,,,,
,"ECOOP Workshops",11,,,,,,,,,,,,,,,,,,
,"ISER",11,,,,,,,,,,,,,,,,,,
,"FOGA",11,,,,,,,,,,,,,,,,,,
,"PKDD",11,,,,,,,,,,,,,,,,,,
,"SCM",11,,,,,,,,,,,,,,,,,,
,"JCDL",11,,,,,,,,,,,,,,,,,,
,"JISBD",11,,,,,,,,,,,,,,,,,,
,"SAINT",11,,,,,,,,,,,,,,,,,,
,"CLEF",11,,,,,,,,,,,,,,,,,,
