1979	1	1.0	0.230769230769
1980	1	1.0	0.204545454545
1981	3	1.7	0.189003436426
1982	3	1.7	0.189003436426
1983	2	1.26666666667	0.189294403893
1984	2	1.17777777778	0.232672672673
1985	2	1.17777777778	0.221920563097
1986	2	1.17777777778	0.272693032015
1987	2	1.17777777778	0.274346405229
1988	2	1.17777777778	0.278674768519
1989	2	1.17777777778	0.27101972102
1990	2	1.17777777778	0.26008024366
1991	3	1.75757575758	0.273258237894
1992	4	2.10476190476	0.298801403235
1993	5	2.31617647059	0.317978563055
1994	5	2.43137254902	0.346595179712
1995	5	2.46315789474	0.356652106652
1996	6	2.64502164502	0.370044272313
1997	6	2.69960474308	0.375730620967
1998	6	2.86461538462	0.384950133011
1999	6	2.86894586895	0.406268832147
2000	7	2.98677248677	0.416256979031
2001	7	2.98677248677	0.441597547489
2002	7	2.98677248677	0.464912833631
2003	8	3.93333333333	0.47370777781
2004	8	4.004048583	0.505958959258
2005	8	4.004048583	0.521858643607
2006	10	4.67265996827	0.544308538169
2007	14	4.97522982635	0.56356427537
2008	18	6.8965533259	0.581400728463
2009	26	9.93470414715	0.595848331696
2010	26	9.95375054199	0.615418074018
2011	26	10.2462336026	0.631811927162
2012	24	9.40972369058	0.638852319562
